Category,Year,Value
 Revenue ,2018,"149,688,771"
 Cost of sales ,2018,"-64,232,516"
 Gross profit ,2018,"85,456,255"
 General and administrative expenses ,2018,"-39,915,853"
 Selling and distribution expenses ,2018,"-4,170,621"
 Amortisation of intangible assets ,2018,"-4,275,405"
 Amortisation of cost to obtain a contract ,2018,"-1,863,301"
 Amortisation of right-of-use assets ,2018,"-6,771,589"
 Depreciation ,2018,"-15,422,819"
 Profit from operations ,2018,"13,036,667"
 Gain on bargain purchase ,2018,"1,634,891"
 Finance cost ,2018,"-3,010,908"
 Net movement in fair value of derivatives ,2018,"127,961"
 Profit on Murabaha deposits and saving accounts ,2018,"123,733"
 Foreign exchange and other losses ,2018,"-7,779"
 Profit for the year ,2018,"11,904,565"
" Earnings before interest, tax depreciation and amortisation ",2018,"41,369,781"
 Earnings per share ,2018, 15.873 fils 
 Profit for the year ,2018,"11,904,565"
 OTHER COMPREHENSIVE LOSS ,2018, -   
 TOTAL COMPREHENSIVE INCOME FOR THE YEAR ,2018,"11,904,565"
 Revenue ,2019,"156,218,326"
 Cost of sales ,2019,"-68,126,353"
 Gross profit ,2019,"88,091,973"
 General and administrative expenses ,2019,"-40,236,594"
 Selling and distribution expenses ,2019,"-4,208,512"
 Amortisation of intangible assets ,2019,"-4,758,742"
 Amortisation of cost to obtain a contract ,2019,"-2,335,070"
 Amortisation of right-of-use assets ,2019,"-6,019,314"
 Depreciation ,2019,"-15,571,343"
 Profit from operations ,2019,"14,962,398"
 Gain on bargain purchase ,2019, - 
 Finance cost ,2019,"-4,430,351"
 Net movement in fair value of derivatives ,2019,"60,123"
 Profit on Murabaha deposits and saving accounts ,2019,"796,453"
 Foreign exchange and other losses ,2019,"-26,359"
 Profit for the year ,2019,"11,362,264"
" Earnings before interest, tax depreciation and amortisation ",2019,"43,646,867"
 Earnings per share ,2019, 15.150 fils 
 Profit for the year ,2019,"11,362,264"
 OTHER COMPREHENSIVE LOSS ,2019,"-182,911"
 TOTAL COMPREHENSIVE INCOME FOR THE YEAR ,2019,"11,179,353"
